SubjectId Activity variable mean
1 LAYING TimeBodyAccMeanX 0.22159824394
1 LAYING TimeBodyAccMeanY -0.0405139534294
1 LAYING TimeBodyAccMeanZ -0.11320355358
1 LAYING TimeBodyAccStDevX -0.9280564692
1 LAYING TimeBodyAccStDevY -0.83682740562
1 LAYING TimeBodyAccStDevZ -0.826061401628
1 LAYING TimeGravityAccMeanX -0.24888179828
1 LAYING TimeGravityAccMeanY 0.70554977346
1 LAYING TimeGravityAccMeanZ 0.4458177198
1 LAYING TimeGravityAccStDevX -0.8968300184
1 LAYING TimeGravityAccStDevY -0.90772000676
1 LAYING TimeGravityAccStDevZ -0.85236629022
1 LAYING TimeBodyAccJerkMeanX 0.0810865342
1 LAYING TimeBodyAccJerkMeanY 0.0038382040088
1 LAYING TimeBodyAccJerkMeanZ 0.010834236361
1 LAYING TimeBodyAccJerkStDevX -0.958482112
1 LAYING TimeBodyAccJerkStDevY -0.9241492736
1 LAYING TimeBodyAccJerkStDevZ -0.9548551108
1 LAYING TimeBodyGyroMeanX -0.016553093978
1 LAYING TimeBodyGyroMeanY -0.064486124088
1 LAYING TimeBodyGyroMeanZ 0.14868943626
1 LAYING TimeBodyGyroStDevX -0.87354386782
1 LAYING TimeBodyGyroStDevY -0.9510904402
1 LAYING TimeBodyGyroStDevZ -0.9082846626
1 LAYING TimeBodyGyroJerkMeanX -0.107270949192
1 LAYING TimeBodyGyroJerkMeanY -0.04151728689
1 LAYING TimeBodyGyroJerkMeanZ -0.0740501211
1 LAYING TimeBodyGyroJerkStDevX -0.9186085208
1 LAYING TimeBodyGyroJerkStDevY -0.9679072436
1 LAYING TimeBodyGyroJerkStDevZ -0.9577901596
1 LAYING TimeBodyAccMagMean -0.8419291525
1 LAYING TimeBodyAccMagStDev -0.79514486386
1 LAYING TimeGravityAccMagMean -0.8419291525
1 LAYING TimeGravityAccMagStDev -0.79514486386
1 LAYING TimeBodyAccJerkMagMean -0.9543962646
1 LAYING TimeBodyAccJerkMagStDev -0.9282456284
1 LAYING TimeBodyGyroMagMean -0.874759548
1 LAYING TimeBodyGyroMagStDev -0.81901016976
1 LAYING TimeBodyGyroJerkMagMean -0.96346103
1 LAYING TimeBodyGyroJerkMagStDev -0.9358409828
1 LAYING FreqBodyAccMeanX -0.9390990524
1 LAYING FreqBodyAccMeanY -0.86706520518
1 LAYING FreqBodyAccMeanZ -0.8826668762
1 LAYING FreqBodyAccStDevX -0.9244374346
1 LAYING FreqBodyAccStDevY -0.8336255561
1 LAYING FreqBodyAccStDevZ -0.81289155944
1 LAYING FreqBodyAccMeanFreqX -0.158792670508
1 LAYING FreqBodyAccMeanFreqY 0.097534841586
1 LAYING FreqBodyAccMeanFreqZ 0.08943765522
1 LAYING FreqBodyAccJerkMeanX -0.9570738838
1 LAYING FreqBodyAccJerkMeanY -0.9224626098
1 LAYING FreqBodyAccJerkMeanZ -0.9480609042
1 LAYING FreqBodyAccJerkStDevX -0.9641607086
1 LAYING FreqBodyAccJerkStDevY -0.9322178704
1 LAYING FreqBodyAccJerkStDevZ -0.9605869872
1 LAYING FreqBodyAccJerkMeanFreqX 0.132419092398
1 LAYING FreqBodyAccJerkMeanFreqY 0.024513618956
1 LAYING FreqBodyAccJerkMeanFreqZ 0.02438794528
1 LAYING FreqBodyGyroMeanX -0.850249174586
1 LAYING FreqBodyGyroMeanY -0.9521914948
1 LAYING FreqBodyGyroMeanZ -0.909302721
1 LAYING FreqBodyGyroStDevX -0.8822964508
1 LAYING FreqBodyGyroStDevY -0.9512320494
1 LAYING FreqBodyGyroStDevZ -0.9165825082
1 LAYING FreqBodyGyroMeanFreqX -0.003546795856
1 LAYING FreqBodyGyroMeanFreqY -0.091529130882
1 LAYING FreqBodyGyroMeanFreqZ 0.01045812566
1 LAYING FreqBodyAccMagMean -0.8617676481
1 LAYING FreqBodyAccMagStDev -0.7983009404
1 LAYING FreqBodyAccMagMeanFreq 0.08640856294
1 LAYING FreqBodyBodyAccJerkMagMean -0.9333003608
1 LAYING FreqBodyBodyAccJerkMagStDev -0.9218039756
1 LAYING FreqBodyBodyAccJerkMagMeanFreq 0.26639115416
1 LAYING FreqBodyBodyGyroMagMean -0.8621901854
1 LAYING FreqBodyBodyGyroMagStDev -0.82431943968
1 LAYING FreqBodyBodyGyroMagMeanFreq -0.1397750127
1 LAYING FreqBodyBodyGyroJerkMagMean -0.9423669466
1 LAYING FreqBodyBodyGyroJerkMagStDev -0.9326606676
1 LAYING FreqBodyBodyGyroJerkMagMeanFreq 0.17648590708
1 LAYING AngletBodyAccMeanGravity 0.0213659655642
1 LAYING AngletBodyAccJerkMeanGravityMean 0.00306040735
1 LAYING AngletBodyGyroMeanGravityMean -0.001666984698
1 LAYING AngletBodyGyroJerkMeanGravityMean 0.08443716468
1 LAYING AngleXGravityMean 0.4267062264
1 LAYING AngleYGravityMean -0.52034381798
1 LAYING AngleZGravityMean -0.35241310896
1 SITTING TimeBodyAccMeanX 0.261237565425532
1 SITTING TimeBodyAccMeanY -0.00130828765170213
1 SITTING TimeBodyAccMeanZ -0.104544182255319
1 SITTING TimeBodyAccStDevX -0.977229008297872
1 SITTING TimeBodyAccStDevY -0.922618641914894
1 SITTING TimeBodyAccStDevZ -0.93958629106383
1 SITTING TimeGravityAccMeanX 0.831509933404255
1 SITTING TimeGravityAccMeanY 0.204411592680851
